Method,Features,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,CV_ROC
Raw_Features,17,0.6654920244786406,0.010727583764892693,0.5107271386211775,0.01574716245847143,0.42279528392664917,0.011655821975311467,0.7015697137580794,0.006592177007793721,1.611977810447374
All_Engineered,38,0.6577149101955817,0.00819941815090282,0.5083933050730466,0.015322737573454776,0.4020028271176332,0.0008022956113068312,0.7019390581717452,0.005039724487163496,1.2466523145209822
MutualInfo_Top15,15,0.6492470151191673,0.0042279006523001025,0.49203571753490305,0.014285192863410186,0.41859843507947225,0.011065339996546297,0.6894736842105263,0.01160793730734457,0.6512006299365249
TreeBased_Top15,15,0.6473769861551157,0.01106016373891921,0.49152423331545875,0.01645397236719792,0.4093003381845115,0.011822832369660979,0.6980609418282548,0.006243450232456877,1.7084579735537775
ANOVA_Top15,15,0.6425624515861664,0.002733613619920177,0.4852273037339037,0.013172014122720219,0.4220554225010284,0.0061398006366793845,0.6856879039704524,0.003038685627313829,0.4254238032695884
Hierarchical_5,5,0.5246864346114295,0.013168555376257506,0.34410003342340173,0.009837348691240476,0.27253726168252196,0.009327316564343024,0.6321329639889196,0.009253901988083128,2.509795281063409
L1_LASSO,1,0.5084206108745736,0.017915877330080668,0.3369419061534274,0.008472548827146357,0.2731132600159094,0.014192350096099196,0.6213296398891966,0.0038082346495478064,3.5238298658392666
