dataset,split_type,test_size,random_state,target,n_total,n_internal_train,n_unseen_test,train_prevalence,unseen_prevalence,prevalence_abs_diff,train_file,unseen_file
dataset_A,early_stratified_holdout,0.2,42,KOA,12329,9863,2466,0.1332251850349792,0.1330089213300892,0.0002162637048900018,C:\Users\eftel\OneDrive\Masaüstü\bioinformatics-data\BioAge-KOA-Prediction\step_01_data_prep\dataset_A_internal_train.csv,C:\Users\eftel\OneDrive\Masaüstü\bioinformatics-data\BioAge-KOA-Prediction\step_01_data_prep\dataset_A_unseen_test.csv
dataset_B,early_stratified_holdout,0.2,42,KOA,7635,6108,1527,0.1421087098886706,0.1421087098886706,0.0,C:\Users\eftel\OneDrive\Masaüstü\bioinformatics-data\BioAge-KOA-Prediction\step_01_data_prep\dataset_B_internal_train.csv,C:\Users\eftel\OneDrive\Masaüstü\bioinformatics-data\BioAge-KOA-Prediction\step_01_data_prep\dataset_B_unseen_test.csv
