feature_set,roc_auc,pr_auc,brier,n_features,n_elsa
raw16,0.6049925277016135,0.29742919818587166,0.1997820275121984,15,8416
raw16+RAS,0.6111386185873714,0.3162837141070422,0.18763808486480776,16,8416
