r2,mae,rmse,pearson_r,mean_true,mean_pred,std_true,std_pred,n,model,fold,eval,target
0.46689163544543033,6.147314112954424,7.804916674314838,0.6851948785115667,58.54845902568073,58.83074654533374,10.689577062503314,7.7907611854684555,1715,RandomForest,1,cv_fold,BA_KDM_log
0.46479624167507827,6.125624913779148,7.820240327126552,0.6830666689986211,58.54845902568073,58.75970365563217,10.689577062503314,7.700703836526377,1715,XGBoost,1,cv_fold,BA_KDM_log
0.4460646069296297,6.251538263892623,7.955913999264853,0.6692268506898194,58.54845902568073,58.77834244811691,10.689577062503314,7.544688016023669,1715,LightGBM,1,cv_fold,BA_KDM_log
0.4708225729176393,6.104436076580433,7.776088196114433,0.6869335606107685,58.54845902568073,58.78959754969427,10.689577062503314,7.592869956272988,1715,Ensemble,1,cv_fold,BA_KDM_log
0.45866040356702453,6.170603757168446,7.8411164045330475,0.6793108252696825,58.72253606192251,58.64799679567849,10.657197243054823,7.798811101644516,1715,RandomForest,2,cv_fold,BA_KDM_log
0.47029309530474184,6.157396830740335,7.756411127689139,0.6865848510065026,58.72253606192251,58.686853763591444,10.657197243054823,7.66963693463229,1715,XGBoost,2,cv_fold,BA_KDM_log
0.455252844013177,6.289870483754542,7.8657563496892955,0.6755159557991024,58.72253606192251,58.66368941717183,10.657197243054823,7.542538584618316,1715,LightGBM,2,cv_fold,BA_KDM_log
0.47340931704354616,6.140489167429475,7.733562312374351,0.6884507713581058,58.72253606192251,58.66617999214725,10.657197243054823,7.581650061373294,1715,Ensemble,2,cv_fold,BA_KDM_log
0.49557364007995486,6.011355500353662,7.621886815529695,0.704733235767269,58.627520667935435,58.832793752459075,10.73157854356229,7.848734027789584,1715,RandomForest,3,cv_fold,BA_KDM_log
0.49401683821556464,6.0527525243526785,7.6336393996251,0.7037333150578731,58.627520667935435,58.890608686886445,10.73157854356229,7.81997327553395,1715,XGBoost,3,cv_fold,BA_KDM_log
0.4777691150066181,6.181417178415967,7.755233614528596,0.6918014918440117,58.627520667935435,58.86315207862324,10.73157854356229,7.621445069743759,1715,LightGBM,3,cv_fold,BA_KDM_log
0.5016401474602183,6.014956535351746,7.575915688537254,0.7086297034743263,58.627520667935435,58.86218483932293,10.73157854356229,7.670657154336569,1715,Ensemble,3,cv_fold,BA_KDM_log
0.49181860099039953,5.97537284373978,7.68912185149536,0.7014528861724344,58.601599149041085,58.49173825946446,10.786172488476506,7.450923393039131,1714,RandomForest,4,cv_fold,BA_KDM_log
0.5012302890161195,5.961385815570582,7.6175865459579795,0.7088188061082025,58.601599149041085,58.40346849145522,10.786172488476506,7.329793349839931,1714,XGBoost,4,cv_fold,BA_KDM_log
0.4866824627353994,6.041115753460518,7.727880754967759,0.6981704065737658,58.601599149041085,58.433295115849944,10.786172488476506,7.285576699474806,1714,LightGBM,4,cv_fold,BA_KDM_log
0.5044916359783552,5.9192889866168334,7.592640827292533,0.7114308793561973,58.601599149041085,58.44283395558987,10.786172488476506,7.266361163285171,1714,Ensemble,4,cv_fold,BA_KDM_log
0.45164010289189116,6.225548043316237,7.966273458948461,0.6728713697276105,58.446074234098155,58.208715773389095,10.757772783842695,7.508392613220783,1714,RandomForest,5,cv_fold,BA_KDM_log
0.451979591884473,6.277347737016166,7.963807121714956,0.6727829881062862,58.446074234098155,58.225231778246105,10.757772783842695,7.402886783562588,1714,XGBoost,5,cv_fold,BA_KDM_log
0.4433290138351148,6.378960340538406,8.026415916236672,0.6663407874927448,58.446074234098155,58.20911775301368,10.757772783842695,7.3188989257574635,1714,LightGBM,5,cv_fold,BA_KDM_log
0.45983339073878426,6.232247494323728,7.906535668726351,0.6784566672102186,58.446074234098155,58.21435510154963,10.757772783842695,7.325252693511439,1714,Ensemble,5,cv_fold,BA_KDM_log
0.47302187910546334,6.10604015289645,7.785580361141257,0.6883449509300503,58.58925308520348,58.60245705442836,10.724935759012865,7.684924549918966,8573,RandomForest,all,cv_oof,BA_KDM_log
0.47656293977103426,6.114900522599958,7.759378436642078,0.6905503526543179,58.58925308520348,58.59323832196977,10.724935759012865,7.590848638024822,8573,XGBoost,all,cv_oof,BA_KDM_log
0.4619332371604009,6.2285847297693255,7.86706579673511,0.6798554454508801,58.58925308520348,58.58958195742929,10.724935759012865,7.467696196697001,8573,LightGBM,all,cv_oof,BA_KDM_log
0.4821423468374201,6.082285172044484,7.7179133596013845,0.6943780131512148,58.58925308520348,58.59509244460914,10.724935759012865,7.492890925319314,8573,Ensemble,all,cv_oof,BA_KDM_log
0.49433101845391225,6.0835031592671704,7.830802897390929,0.7032709347351399,58.64439902120954,58.56112618323447,11.012175795398095,7.900980818957872,2136,RandomForest,-,unseen_holdout,BA_KDM_log
0.4945166377199187,6.077307802523556,7.8293655130995665,0.7033061671670598,58.64439902120954,58.53398132324219,11.012175795398095,7.692829132080078,2136,XGBoost,-,unseen_holdout,BA_KDM_log
0.48009492626025485,6.203874799268912,7.940268047750485,0.6929545292402102,58.64439902120954,58.570794709219655,11.012175795398095,7.55594201150321,2136,LightGBM,-,unseen_holdout,BA_KDM_log
0.5008564832607274,6.040775972312272,7.780112071739417,0.7079196840670016,58.64439902120954,58.555300111116786,11.012175795398095,7.629334623515084,2136,Ensemble,-,unseen_holdout,BA_KDM_log
