Method,Features,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,CV_ROC
Baseline_Raw,17,0.6654941234074522,0.010723810750646033,0.510725972169011,0.015748627961491332,0.42279528392664917,0.011655821975311467,0.7015697137580794,0.006592177007793721,1.6114057770695485
Domain_Specific,33,0.6551701339221528,0.007832022164918294,0.49806526769948567,0.010983106055004138,0.40335879068784,0.010996746457911991,0.698522622345337,0.0033850974662647036,1.195418069201685
Domain_Only,16,0.5381223775779364,0.0034569654723726573,0.3531593718578083,0.0038932072957502096,0.28025667841738194,0.0074294527720398795,0.6257617728531856,0.006169267992055459,0.6424125099447261
