Method,Seed,Features,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
Baseline_Raw,42,17,0.6767422246056725,0.528609931056104,0.42168674698795183,0.7074792243767313,0.5895865237366003,0.32821824381926684
Baseline_Raw,123,17,0.6643545216698657,0.5046374631674084,0.43496577145866244,0.7027700831024931,0.568870523415978,0.35208866155157714
Baseline_Raw,999,17,0.6553856239468187,0.498930522283521,0.41173333333333334,0.6944598337950139,0.5498575498575499,0.3290707587382779
Domain_Specific,42,33,0.6620556698888722,0.5080531017937436,0.39287701725097385,0.6977839335180055,0.5657051282051282,0.3009377664109122
Domain_Specific,123,33,0.656805024555718,0.49983973274814986,0.4148067501360915,0.7022160664819944,0.5737951807228916,0.3248081841432225
Domain_Specific,999,33,0.6466497073218682,0.48630296855656363,0.4023926046764546,0.695567867036011,0.5555555555555556,0.3154305200341006
Domain_Only,42,16,0.5341315559604156,0.3491657338590315,0.27440633245382584,0.6191135734072022,0.3601108033240997,0.2216538789428815
Domain_Only,123,16,0.5401927376363472,0.35694370440923684,0.28861571352218063,0.6313019390581718,0.3868194842406877,0.23017902813299232
Domain_Only,999,16,0.5400428391370464,0.35336867730515653,0.2777479892761394,0.6268698060941829,0.37427745664739887,0.2208013640238704
