name,auc_mean,auc_std,f1_mean,f1_std,acc_mean,threshold_mean,feature_set,model,n_features,calibration,threshold
D_raw17_ohe_PCA|LightGBM_spw_youden,0.6866377516274316,0.008264810503795189,0.3187221522892233,0.01079419323751188,0.6305182092413552,0.36266666666666675,D_raw17_ohe_PCA,LightGBM_spw,25,none,youden(0.36)
D_raw17_ohe_PCA|LightGBM_spw,0.6866377516274316,0.008264810503795189,0.3081280277607376,0.015614298480766207,0.7833831083122624,0.5,D_raw17_ohe_PCA,LightGBM_spw,25,none,default
F_ohe_PCA_KDM|LightGBM_spw_youden,0.6852931665265648,0.011264832850546188,0.31646351290643326,0.010015458748747225,0.6221651265870332,0.35533333333333333,F_ohe_PCA_KDM,LightGBM_spw,26,none,youden(0.36)
F_ohe_PCA_KDM|LightGBM_spw,0.6852931665265648,0.011264832850546188,0.3097600055861017,0.014513688754595883,0.7845729260745327,0.5,F_ohe_PCA_KDM,LightGBM_spw,26,none,default
LASSO_C0.5_forcedBA_XGB,0.6834154229247301,0.0199381412762267,0.3287690947956908,0.019045349920451368,0.6755879419195033,0.47000000000000003,lasso_C0.5_forced_BA,XGBoost_spw_youden,12,,
LASSO_C1.0_forcedBA_XGB,0.683414947837173,0.019937285527252626,0.3287690947956908,0.019045349920451368,0.6755879419195033,0.47000000000000003,lasso_C1.0_forced_BA,XGBoost_spw_youden,12,,
D_raw17_ohe_PCA|XGBoost_default_youden,0.6833016047932323,0.011952665398933285,0.3188613607670179,0.012153692100683846,0.6486076440812082,0.13066666666666665,D_raw17_ohe_PCA,XGBoost_default,25,none,youden(0.13)
D_raw17_ohe_PCA|XGBoost_default,0.6833016047932323,0.011952665398933285,0.0368895528218932,0.011034147968836845,0.8674939392094898,0.5,D_raw17_ohe_PCA,XGBoost_default,25,none,default
C_raw17_int_PCA|XGBoost_default,0.6818053675119835,0.00820202058245756,0.03799986508550162,0.010910056416634168,0.8673858457441762,0.5,C_raw17_int_PCA,XGBoost_default,23,none,default
C_raw17_int_PCA|XGBoost_default_youden,0.6818053675119835,0.00820202058245756,0.31859930132614794,0.011568939595590815,0.6541222313798971,0.134,C_raw17_int_PCA,XGBoost_default,23,none,youden(0.13)
F_ohe_PCA_KDM|XGBoost_default_youden,0.6807309526223573,0.008650427219659872,0.3136436115093365,0.011418331264391002,0.6262232816610158,0.12533333333333332,F_ohe_PCA_KDM,XGBoost_default,26,none,youden(0.13)
F_ohe_PCA_KDM|XGBoost_default,0.6807309526223573,0.008650427219659872,0.03427145326792212,0.008216914244711169,0.8676291547466093,0.5,F_ohe_PCA_KDM,XGBoost_default,26,none,default
D_raw17_ohe_PCA|XGBoost_spw,0.6754302622838977,0.012333170586040883,0.3045724946429454,0.015003227216497944,0.7495063026189304,0.5,D_raw17_ohe_PCA,XGBoost_spw,25,none,default
D_raw17_ohe_PCA|XGBoost_spw_youden,0.6754302622838977,0.012333170586040883,0.3078998152208315,0.01149425277263731,0.5911555614778841,0.37800000000000006,D_raw17_ohe_PCA,XGBoost_spw,25,none,youden(0.38)
C_raw17_int_PCA|XGBoost_spw_youden,0.6746235877955757,0.009541619781615747,0.31062872384042417,0.010941179713854653,0.624085737771351,0.4000000000000001,C_raw17_int_PCA,XGBoost_spw,23,none,youden(0.40)
C_raw17_int_PCA|XGBoost_spw,0.6746235877955757,0.009541619781615747,0.3026400753017021,0.010639672192220371,0.7489385048423263,0.5,C_raw17_int_PCA,XGBoost_spw,23,none,default
F_ohe_PCA_KDM|XGBoost_spw,0.6708368187810696,0.010354621415645094,0.3034219334462342,0.011162365652489663,0.751155923397969,0.5,F_ohe_PCA_KDM,XGBoost_spw,26,none,default
F_ohe_PCA_KDM|XGBoost_spw_youden,0.6708368187810696,0.010354621415645094,0.3065532956689193,0.00923548173856321,0.6119479909870932,0.3933333333333334,F_ohe_PCA_KDM,XGBoost_spw,26,none,youden(0.39)
D_raw17_ohe_PCA|XGBoost_spw_cal,0.6684309427321052,0.010330042006801913,0.2999860520555027,0.008808295658002308,0.5583880627788773,0.136,D_raw17_ohe_PCA,XGBoost_spw_calibrated,25,isotonic,youden(0.14)
LASSO_C0.1_forcedBA_XGB,0.6209295563814795,0.016413027544291872,0.2818539260334874,0.019885345540569272,0.6515580495139577,0.4913333333333334,lasso_C0.1_forced_BA,XGBoost_spw_youden,9,,
LASSO_C0.05_forcedBA_XGB,0.6209205506430482,0.016411941877609342,0.28186527137008555,0.019881834915238854,0.6515850838475613,0.4913333333333334,lasso_C0.05_forced_BA,XGBoost_spw_youden,9,,
LASSO_C0.01_forcedBA_XGB,0.5896849595514703,0.018320881640991854,0.26200147102385757,0.013177525983548825,0.6139612537131082,0.48133333333333345,lasso_C0.01_forced_BA,XGBoost_spw_youden,5,,
