bin,n,mean_pred,observed_rate,abs_gap
"(-0.001, 0.00667]",3465,0.0018927139879520833,0.04588744588744589,0.0439947318994938
"(0.00667, 0.0133]",702,0.011323090489757158,0.05555555555555555,0.04423246506579839
"(0.0133, 0.0267]",852,0.02118626263755372,0.03873239436619718,0.01754613172864346
"(0.0267, 0.05]",923,0.03891537778861722,0.06500541711809317,0.02609003932947595
"(0.05, 0.0967]",973,0.07298628527366965,0.09660842754367935,0.023622142270009694
"(0.0967, 0.213]",981,0.14754681280645182,0.11722731906218145,0.03031949374427037
"(0.213, 0.58]",987,0.32990182841722715,0.13069908814589665,0.1992027402713305
"(0.58, 0.987]",980,0.701248218334953,0.6989795918367347,0.0022686264982182403
