threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.05,0.08804303163871352,0.08760545793155707,0.0
0.060000000000000005,0.08138087544034117,0.07789913301593532,0.0
0.07,0.07735546884794806,0.06798406993008516,0.0
0.08000000000000002,0.07496616692160864,0.057853461994542596,0.0
0.09000000000000001,0.0728753148909288,0.04750020333514199,0.0
0.1,0.06973312154291572,0.036916872261088016,0.0
0.11000000000000001,0.06697599814082138,0.02609571352244855,0.0
0.12000000000000001,0.06328979749845612,0.015028619357930914,0.0
0.13,0.06217012146871914,0.003707109235608297,0.0
0.14,0.0606424291868364,-0.007877691819791616,0.0
0.15000000000000002,0.05944975577171961,-0.019735076429436255,0.0
0.16000000000000003,0.05918705310371132,-0.03187477972026287,0.0
0.17000000000000004,0.05780151936958011,-0.04430700598195278,0.0
0.18000000000000005,0.05706965920921502,-0.05704245727441565,0.0
0.19,0.05619706021882506,-0.07009236415434664,0.0
0.2,0.055155632160600224,-0.08346851870627597,0.0
0.21000000000000002,0.05428676667817453,-0.0971833100823048,0.0
0.22000000000000003,0.052389531452696814,-0.1112497627756677,0.0
0.23000000000000004,0.05182822854930733,-0.1256815778766504,0.0
0.24000000000000005,0.05109473470759937,-0.14049317758555369,0.0
0.25000000000000006,0.050829700226435494,-0.15569975328669444,0.0
0.26000000000000006,0.05052735996667862,-0.17131731752029838,0.0
0.27,0.05069590374431076,-0.1873627602260559,0.0
0.28,0.05076210753996417,-0.20385390967364003,0.0
0.29000000000000004,0.050958697536532184,-0.22080959854228283,0.0
0.30000000000000004,0.052041540533885655,-0.23824973566431545,0.0
0.31000000000000005,0.051648159495229565,-0.2561953840072766,0.0
0.32000000000000006,0.05161298018142672,-0.2746688455367954,0.0
0.33,0.05155707824055228,-0.2936937536791356,0.0
0.34,0.05076210753996417,-0.3132951741894255,0.0
0.35000000000000003,0.050109578143644855,-0.33349971533080125,0.0
0.36000000000000004,0.04859702930142958,-0.35433564838284504,0.0
0.37000000000000005,0.04771560859972094,-0.37583303962701725,0.0
0.38000000000000006,0.0454451796057602,-0.3980238951048724,0.0
0.39000000000000007,0.04402112216048387,-0.4209423196147884,0.0
0.4000000000000001,0.04180607658251377,-0.4446246916083682,0.0
0.4100000000000001,0.038282091775974914,-0.4691098558729169,0.0
0.42000000000000004,0.032692717820345635,-0.4944393361465876,0.0
0.43000000000000005,0.027156251167307903,-0.5206575701140717,0.0
0.44000000000000006,0.019973638852276182,-0.5478121695803944,0.0
0.45000000000000007,0.012636759975297942,-0.5759542090273106,0.0
0.4600000000000001,0.009064930285654202,-0.6051385462315202,0.0
0.4700000000000001,0.0030608008968146597,-0.6354241791792847,0.0
0.4800000000000001,0.00031196624525226153,-0.6668746441635018,0.0
0.49000000000000005,-0.0013757099717104726,-0.699558460715727,0.0
0.5000000000000001,-0.0018250025347257446,-0.7335496299300419,0.0
0.5100000000000001,-0.001849832501184599,-0.7689281938061652,0.0
0.5200000000000001,-0.0019517388218594773,-0.8057808645104605,0.0
0.5300000000000001,-0.0022305586535536883,-0.8442017339681298,0.0
0.5400000000000001,-0.0023319476832606746,-0.8842930760109153,0.0
0.5500000000000002,-0.002433336712967661,-0.9261662554778245,0.0
0.5600000000000002,-0.0026361147723816328,-0.9699427612841387,0.0
0.5700000000000002,-0.0030416708912095755,-1.015755383639584,0.0
0.5800000000000002,-0.00272301965498762,-1.0637495594405264,0.0
0.5900000000000002,-0.0015183625424412032,-1.114084914548832,0.0
0.6000000000000002,-0.0017236135050187592,-1.166937037412553,0.0
