config,variant,evaluation_set,mean_gain_vs_treat_all,mean_avoided_per_100,relative_reduction_pct,baseline_unnecessary_per_100
raw16,raw,internal_oof,0.1381893891682528,51.895706479799685,59.872190081911846,86.67748149650207
raw16,isotonic,internal_oof,0.1388672962675827,51.97957434015866,59.96894861585974,86.67748149650207
raw16,raw,unseen_holdout,0.1606805765029558,61.80381064601552,71.28540554400107,86.69910786699107
raw16,isotonic,unseen_holdout,0.16163443042829903,62.096078321909715,71.62251129178175,86.69910786699107
