threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.05,0.08851262293419852,0.08760545793155707,0.0
0.060000000000000005,0.0834388570220532,0.07789913301593532,0.0
0.07,0.08058901575236656,0.06798406993008516,0.0
0.08000000000000002,0.07759787347530736,0.057853461994542596,0.0
0.09000000000000001,0.07439280784104875,0.04750020333514199,0.0
0.1,0.07144546960018926,0.036916872261088016,0.0
0.11000000000000001,0.06910858537241102,0.02609571352244855,0.0
0.12000000000000001,0.06588904353276248,0.015028619357930914,0.0
0.13,0.06389256958259186,0.003707109235608297,0.0
0.14,0.061602088142435084,-0.007877691819791616,0.0
0.15000000000000002,0.06012369461624252,-0.019735076429436255,0.0
0.16000000000000003,0.05783519937428484,-0.03187477972026287,0.0
0.17000000000000004,0.05594842107963436,-0.04430700598195278,0.0
0.18000000000000005,0.054633849593083775,-0.05704245727441565,0.0
0.19,0.053187933954435024,-0.07009236415434664,0.0
0.2,0.05186048869512319,-0.08346851870627597,0.0
0.21000000000000002,0.051612149742613044,-0.0971833100823048,0.0
0.22000000000000003,0.05015117364301182,-0.1112497627756677,0.0
0.23000000000000004,0.05062736108057004,-0.1256815778766504,0.0
0.24000000000000005,0.04975533226252287,-0.14049317758555369,0.0
0.25000000000000006,0.05052553313731453,-0.15569975328669444,0.0
0.26000000000000006,0.05051365874644795,-0.17131731752029838,0.0
0.27,0.049797291385126924,-0.1873627602260559,0.0
0.28,0.04967499183255038,-0.20385390967364003,0.0
0.29000000000000004,0.049302200713150446,-0.22080959854228283,0.0
0.30000000000000004,0.04924610014339305,-0.23824973566431545,0.0
0.31000000000000005,0.04868289772785714,-0.2561953840072766,0.0
0.32000000000000006,0.04833274686737718,-0.2746688455367954,0.0
0.33,0.04722610207605387,-0.2936937536791356,0.0
0.34,0.04679871819687291,-0.3132951741894255,0.0
0.35000000000000003,0.046919723285940455,-0.33349971533080125,0.0
0.36000000000000004,0.046664300922640164,-0.35433564838284504,0.0
0.37000000000000005,0.046077290627630274,-0.37583303962701725,0.0
0.38000000000000006,0.045628333982005075,-0.3980238951048724,0.0
0.39000000000000007,0.04442335404882961,-0.4209423196147884,0.0
0.4000000000000001,0.04363107911723951,-0.4446246916083682,0.0
0.4100000000000001,0.04243216816143881,-0.4691098558729169,0.0
0.42000000000000004,0.04112199197977813,-0.4944393361465876,0.0
0.43000000000000005,0.040233657244601914,-0.5206575701140717,0.0
0.44000000000000006,0.0389768398487855,-0.5478121695803944,0.0
0.45000000000000007,0.038002451771081996,-0.5759542090273106,0.0
0.4600000000000001,0.037318673230667544,-0.6051385462315202,0.0
0.4700000000000001,0.03663204773318997,-0.6354241791792847,0.0
0.4800000000000001,0.0363362684157574,-0.6668746441635018,0.0
0.49000000000000005,0.034818185613493084,-0.699558460715727,0.0
0.5000000000000001,0.03366115786271923,-0.7335496299300419,0.0
0.5100000000000001,0.032709342481796515,-0.7689281938061652,0.0
0.5200000000000001,0.03186150258542024,-0.8057808645104605,0.0
0.5300000000000001,0.031195462948781255,-0.8442017339681298,0.0
0.5400000000000001,0.030570996565997613,-0.8842930760109153,0.0
0.5500000000000002,0.02966192391316591,-0.9261662554778245,0.0
0.5600000000000002,0.029319863954356477,-0.9699427612841387,0.0
0.5700000000000002,0.028834568471784346,-1.015755383639584,0.0
0.5800000000000002,0.028147525866272664,-1.0637495594405264,0.0
0.5900000000000002,0.02775586510807821,-1.114084914548832,0.0
0.6000000000000002,0.025854202575281315,-1.166937037412553,0.0
