Strategy,Samples,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std
Listwise_Deletion,2742,0.6775546715805278,0.04222818896814046,0.5745309503909911,0.04441792597192793,0.5285656328559113,0.03577411399908593,0.7383120825743776,0.01750277511281064,0.7084973108369574,0.043827914695834844,0.42233856893542754,0.037875278209791814
Raw_Data_Direct,18046,0.6654942400146086,0.010723719019641866,0.5107260905158394,0.01574849500267373,0.42279528392664917,0.011655821975311467,0.7015697137580794,0.006592177007793721,0.569438199003376,0.019870569520020375,0.3364592213697073,0.0135422023955031
Mean_Imputation,18046,0.6446603309334414,0.012213096478875581,0.4903144232799725,0.020253082333971002,0.40435596892858455,0.01177252548696463,0.6953831948291782,0.006177554453805243,0.5547474569500346,0.017897975462348732,0.3182722364308042,0.012304992949480514
