Strategy,Seed,Samples,Features,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Train_Size,Test_Size,Time_sec
Listwise_Deletion,42,2742,17,0.7262277340665126,0.6233800083685583,0.5686900958466453,0.7540983606557377,0.7295081967213115,0.46596858638743455,2193,549,0.2099459171295166
Listwise_Deletion,123,2742,17,0.6557518500102371,0.5365683529034933,0.5170068027210885,0.7413479052823315,0.7378640776699029,0.39790575916230364,2193,549,0.2098524570465088
Listwise_Deletion,999,2742,17,0.6506844306648337,0.563644489900922,0.5,0.7194899817850637,0.6581196581196581,0.4031413612565445,2193,549,0.2031080722808838
Raw_Data_Direct,42,18046,17,0.6767422246056725,0.528609931056104,0.42168674698795183,0.7074792243767313,0.5895865237366003,0.32821824381926684,14436,3610,0.5070416927337646
Raw_Data_Direct,123,18046,17,0.6643546965806002,0.5046374631674084,0.43496577145866244,0.7027700831024931,0.568870523415978,0.35208866155157714,14436,3610,0.5101358890533447
Raw_Data_Direct,999,18046,17,0.655385798857553,0.49893087732400576,0.41173333333333334,0.6944598337950139,0.5498575498575499,0.3290707587382779,14436,3610,0.5065047740936279
Mean_Imputation,42,18046,17,0.6529216564326396,0.5089123835966038,0.40264754550468834,0.7,0.5703125,0.3111679454390452,14436,3610,0.526498556137085
Mean_Imputation,123,18046,17,0.650427779182894,0.493294459697603,0.4168893639764832,0.6977839335180055,0.5587392550143266,0.33248081841432225,14436,3610,0.4887361526489258
Mean_Imputation,999,18046,17,0.6306315571847907,0.46873642654571057,0.3935309973045822,0.6883656509695291,0.5351906158357771,0.3111679454390452,14436,3610,0.5211949348449707
