Feature_Set,Seed,Samples,Features,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Train_Size,Test_Size,Time_sec
Raw_Features,42,18046,17,0.6767457228203586,0.5286130890059004,0.42168674698795183,0.7074792243767313,0.5895865237366003,0.32821824381926684,14436,3610,0.5299105644226074
Raw_Features,123,18046,17,0.6643546965806002,0.5046374631674084,0.43496577145866244,0.7027700831024931,0.568870523415978,0.35208866155157714,14436,3610,0.5088016986846924
Raw_Features,999,18046,17,0.6553859737682872,0.49893363458064566,0.41173333333333334,0.6944598337950139,0.5498575498575499,0.3290707587382779,14436,3610,0.49199628829956055
Engineered_Features,42,18046,38,0.6660448590062062,0.5246177153506301,0.40226628895184136,0.7077562326869806,0.5996621621621622,0.30264279624893436,14436,3610,0.6582274436950684
Engineered_Features,123,18046,38,0.6574472967720923,0.5063936010674608,0.40264026402640263,0.6991689750692521,0.5674418604651162,0.31202046035805625,14436,3610,0.6711046695709229
Engineered_Features,999,18046,38,0.6496527497191809,0.4941688513103245,0.40110192837465564,0.6988919667590028,0.5669781931464174,0.3103154305200341,14436,3610,0.7076146602630615
