Preprocessing,Samples,Features,ROC_AUC,F1_Score,Accuracy,Precision,Recall,Train_Size,Test_Size,Time_sec
1_Listwise_Deletion,2742,38,0.7178624703852116,0.532051282051282,0.7340619307832422,0.6859504132231405,0.43455497382198954,2193,549,0.25989270210266113
0_Raw_Data_Direct,18046,38,0.6688364343257418,0.3964065131948344,0.7022160664819944,0.5805921052631579,0.3009377664109122,14436,3610,0.8565495014190674
2_Mean_Imputation,18046,38,0.639300657909236,0.384703196347032,0.7013850415512466,0.5820379965457686,0.2872975277067349,14436,3610,0.8626031875610352
