phase,feature_set,model,threshold,n_features,roc_auc,pr_auc,f1_macro,f1_binary,accuracy,precision,recall,roc_auc_std,f1_macro_std
3_stacking,raw17,Stack_RF+XGB+LGBM_LR,d_0.5,17,0.8924710477950286,0.7876098105568776,0.8578829912105582,0.7488793735159641,0.9414929751859912,0.8741048094891937,0.6559017223910841,0.011560645540744421,0.015687917228666415
3_stacking,raw17,Stack_RF+XGB+LGBM_LR,f1opt,17,0.8924710477950286,0.7876098105568776,0.8717671747567656,0.7716028865277876,0.9500094373403917,0.9828267676150714,0.6358051004522204,0.011560645540744421,0.014201341279654061
3_stacking,raw17,Stack_RF+XGB+LGBM_LR,youden,17,0.8924710477950286,0.7876098105568776,0.819250881304675,0.6904302530399498,0.911156592401762,0.6651789857598759,0.7300195220797192,0.011560645540744421,0.03325362742671091
3_stacking,raw17,Stack_RF+XGB_LR,d_0.5,17,0.8913699652723104,0.7828853005530513,0.8536448291188135,0.7420721083110126,0.9387082633484078,0.8449967645736003,0.6628054958361133,0.010667575162547708,0.016146292141780493
3_stacking,raw17,Stack_RF+XGB_LR,youden,17,0.8913699652723104,0.7828853005530513,0.811997007658774,0.680021021296706,0.9048301854511416,0.6428828053269661,0.7377208589715079,0.010667575162547708,0.04038337434346241
3_stacking,raw17,Stack_RF+XGB_LR,f1opt,17,0.8913699652723104,0.7828853005530513,0.870691850615707,0.769886685350441,0.9492794006603397,0.9704828885291797,0.6386469221835075,0.010667575162547708,0.014897918293368739
3_stacking,raw17,Stack_RFbal+XGB_LR,youden,17,0.890302468134913,0.7811560342907349,0.8118196244224545,0.6799390156374003,0.9044776972231406,0.6443012236186743,0.7379271999406924,0.011120692806976647,0.0416666820760999
3_stacking,raw17,Stack_RFbal+XGB_LR,d_0.5,17,0.890302468134913,0.7811560342907349,0.8541622271982453,0.7428958327600175,0.9390597316198063,0.8485815852738731,0.6619937232806977,0.011120692806976647,0.015581744716747671
3_stacking,raw17,Stack_RFbal+XGB_LR,f1opt,17,0.890302468134913,0.7811560342907349,0.8711827039448028,0.7707802214999827,0.9494416176292368,0.9705467572535251,0.6400647441124866,0.011120692806976647,0.014639695300840087
2_optuna,raw17,LGBM_optuna,f1opt,17,0.8652118908013497,0.7639019198231262,0.8696107229097749,0.7678985914872958,0.9489549996243709,0.9715004662348392,0.635396743025181,0.020001888024548938,0.013006908766991029
2_optuna,raw17,LGBM_optuna,d_0.5,17,0.8652118908013497,0.7639019198231262,0.8482420665558182,0.7331581977137355,0.935517915866741,0.8167256069312587,0.6656429930560704,0.020001888024548938,0.014695629316214277
2_optuna,raw17,LGBM_optuna,youden,17,0.8652118908013497,0.7639019198231262,0.8092554717980363,0.674589121364456,0.9044255149272843,0.6305808490165384,0.7377356858674969,0.020001888024548938,0.02162055335548997
