Method,ROC_AUC_mean,ROC_AUC_std,F1_mean,PR_AUC_mean
Soft_Voting,0.7057526023078272,0.008712697387346247,0.4483853644487362,0.5652133823137832
Calibrated,0.7056192328846975,0.008469374485857703,0.4144500631567957,0.5644117702574787
Stacking_LR,0.705616140138662,0.008765670564048523,0.41841362961423045,0.5649773955286849
Stacking_GBM,0.6990364638424983,0.00827852999863427,0.4094812789545307,0.5477865298171362
