Model,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Precision_mean,Recall_mean,CV_ROC,vs_RF_baseline
4_GradientBoosting,0.7031420275437312,0.00907430208319202,0.5607603596161275,0.011426403996463545,0.42327539270902503,0.011454057865681317,0.7299126248194022,0.005758556689638535,0.6914710246830789,0.3050777980480415,1.2905361545363825,5.4
8_CatBoost,0.6985457898024187,0.00848700788326713,0.5588467417733896,0.011796609235645749,0.4465338931814074,0.012208850484884036,0.7306515336773488,0.005700772116209604,0.6717818270194494,0.3344712807218153,1.2149536948276007,4.71
7_LightGBM,0.6955722184320686,0.009930293979309756,0.5528372509967671,0.013974369512999905,0.4442739959573562,0.010905705391083466,0.728139372508505,0.006394998807888497,0.6619417888900389,0.3344710867479999,1.4276438472045694,4.27
6_XGBoost,0.6758840711306225,0.009332054843208839,0.5283336494452625,0.011989727383992876,0.4387581628034057,0.009410722077677727,0.7136948026977801,0.004845792266402381,0.6042506762191281,0.34447829287524484,1.3807182683856014,1.31
5_RandomForest,0.6671147679618249,0.008813413255252018,0.511686058249165,0.01580306713647839,0.4357832006184265,0.01549522751846951,0.704237671953286,0.008197953416811093,0.5731980924896175,0.35158515402005885,1.3211239922298286,0.0
3_KNN,0.6235967521021988,0.0039814148767702805,0.4296694868522893,0.005120828292296044,0.411183236171522,0.00967345197757997,0.678414500324545,0.0057384592625739,0.507695830903468,0.34567079539932904,0.6384598481869229,-6.52
1_LogisticRegression,0.619923274724252,0.006092234560221468,0.48418799786845235,0.009478273012382615,0.23494592426902033,0.010922588693030155,0.700432308988481,0.003419895235480698,0.6903390754298305,0.1416228043376425,0.9827400919785363,-7.07
2_DecisionTree,0.5700400288339199,0.0071020543497761525,0.3717364435151778,0.004923234370467928,0.42462747369844234,0.00827122196549264,0.6286161481491715,0.0065760955062328956,0.42756516247395177,0.42179717709906334,1.2458869536415176,-14.55
