Model,Seed,Fold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
1_LogisticRegression,42,1,0.6158356832590488,0.4774957729005959,0.2220640569395018,0.6972299168975069,0.6724137931034483,0.1329923273657289
1_LogisticRegression,42,2,0.6228450117010088,0.4915575974323634,0.23087818696883852,0.6990856192851206,0.6791666666666667,0.13907849829351535
1_LogisticRegression,42,3,0.6190934764250232,0.4982581888890797,0.2585604472396925,0.7060127459129953,0.7142857142857143,0.15784982935153583
1_LogisticRegression,42,4,0.6165660167115322,0.47296665213460504,0.2150997150997151,0.6946522582432807,0.6536796536796536,0.1287297527706735
1_LogisticRegression,42,5,0.6259697532186288,0.4800198901124402,0.23169864960909736,0.7004710446106955,0.6965811965811965,0.13895993179880647
1_LogisticRegression,123,1,0.617732939994074,0.47987840646655816,0.2406755805770584,0.7011080332409972,0.6895161290322581,0.14578005115089515
1_LogisticRegression,123,2,0.6235820141980642,0.4818995340873623,0.23288637967537051,0.6988085342200056,0.673469387755102,0.1407849829351536
1_LogisticRegression,123,3,0.6218452441806563,0.4994407704317754,0.2334293948126801,0.7051814907176503,0.75,0.13822525597269625
1_LogisticRegression,123,4,0.6093873581416575,0.4720940139033317,0.23578947368421052,0.6982543640897756,0.6666666666666666,0.1432225063938619
1_LogisticRegression,123,5,0.6267115041918817,0.4907235020927685,0.24225352112676057,0.7018564699362705,0.6963562753036437,0.1466325660699062
1_LogisticRegression,999,1,0.6133509013674872,0.47781754535101323,0.23380281690140844,0.6986149584487534,0.6720647773279352,0.14151747655583974
1_LogisticRegression,999,2,0.6213673304474113,0.4995887664006431,0.24358974358974358,0.7057356608478803,0.7370689655172413,0.14590443686006827
1_LogisticRegression,999,3,0.625667503686763,0.47931146822357745,0.2195295794725588,0.6965918536990856,0.6666666666666666,0.13139931740614336
1_LogisticRegression,999,4,0.6291465611731949,0.48581108775710935,0.24512534818941503,0.6996397894153505,0.6692015209125475,0.15004262574595056
1_LogisticRegression,999,5,0.6097478221673477,0.47595677184356233,0.23880597014925373,0.7032418952618454,0.717948717948718,0.1432225063938619
2_DecisionTree,42,1,0.5629031473787354,0.3672484271331899,0.41836734693877553,0.6210526315789474,0.4173027989821883,0.4194373401534527
2_DecisionTree,42,2,0.5561503120969243,0.36200022110019564,0.4070567986230637,0.6181767802715433,0.4105902777777778,0.4035836177474403
2_DecisionTree,42,3,0.5613604470891728,0.3652951572746737,0.4157063593683312,0.6206705458575783,0.41588385994876176,0.41552901023890787
2_DecisionTree,42,4,0.5687992838314736,0.3712728485171719,0.4227782571182053,0.6292601828761429,0.4279475982532751,0.4177323103154305
2_DecisionTree,42,5,0.5713141328495417,0.37254407227368624,0.42567858681602755,0.6306456082017179,0.43031358885017423,0.42114236999147486
2_DecisionTree,123,1,0.56353649914766,0.3686022531315032,0.4175634954799828,0.625207756232687,0.4217391304347826,0.4134697357203751
2_DecisionTree,123,2,0.5751436192039393,0.37549541948103693,0.42573402417962003,0.6314768633970629,0.43094405594405594,0.4206484641638225
2_DecisionTree,123,3,0.5780914541321857,0.3771414141856062,0.43123644251626897,0.6367414796342478,0.4386584289496911,0.42406143344709896
2_DecisionTree,123,4,0.5709751916758707,0.3720802677732789,0.42392717815344605,0.6317539484621779,0.4312169312169312,0.41687979539641945
2_DecisionTree,123,5,0.5800534606646257,0.37874939493858994,0.43998291328492095,0.6367414796342478,0.4409246575342466,0.4390451832907076
2_DecisionTree,999,1,0.5656515197468972,0.3678188048792057,0.42505219206680583,0.6185595567867036,0.4165302782324059,0.4339300937766411
2_DecisionTree,999,2,0.5802536198901744,0.37929003784454035,0.438226431338786,0.6384039900249376,0.4422241529105126,0.43430034129692835
