Method,ROC_AUC,F1_Score,Accuracy,Precision,Recall,Data_Loss_%,Time_sec
1_Listwise_Deletion,0.6831606323443309,0.5211267605633803,0.7490774907749077,0.7161290322580646,0.4095940959409594,71.15202524986849,0.04201507568359375
2_Mean_Imputation,0.6791803044180977,0.3836793128131711,0.6981065918653576,0.7223719676549866,0.26120857699805067,0.0,0.02802729606628418
6_KNN_k10,0.6778111916032017,0.40333796940194716,0.6991584852734923,0.7038834951456311,0.2826510721247563,0.0,5.7911317348480225
7_Iterative_MICE,0.6764671658457326,0.3991625959525471,0.6981065918653576,0.7027027027027027,0.2787524366471735,0.0,1.7664966583251953
5_KNN_k5,0.6729944765772287,0.4027491408934708,0.6953015427769986,0.682983682983683,0.2855750487329435,0.0,4.942541837692261
3_Median_Imputation,0.6550908578492599,0.382183908045977,0.6984572230014026,0.726775956284153,0.25925925925925924,0.0,0.06611013412475586
4_Most_Frequent,0.652066533011365,0.382183908045977,0.6984572230014026,0.726775956284153,0.25925925925925924,0.0,0.0615234375
