#,Technique,Before,After,Type,Delta,Delta_pct
1,Model Change: RF → Best Boosting,0.667114312838171,0.6985457898024187,Model Selection,0.03143147696424764,4.71
2,Hyperparameter Tuning (RandomSearchCV),0.6985457898024187,0.7055273492593164,Tuning,0.006981559456897712,1.0
3,Class Balancing - SMOTE,0.7055273492593164,0.6848584239793334,Class Balancing,-0.020668925279982986,-2.93
4,Class Balancing - Balanced Weights,0.7055273492593164,0.7052994900910036,Class Balancing,-0.00022785916831280506,-0.03
5,Threshold Optimization (0.283),0.7055273492593164,0.7055273492593164,Threshold,0.0,0.0
6,Soft Voting (RF+XGB+LGBM),0.7055273492593164,0.7057526023078272,Ensemble,0.00022525304851084282,0.03
7,Stacking (RF+XGB+LGBM → LR),0.7055273492593164,0.705616140138662,Ensemble,8.87908793456571e-05,0.01
8,Stacking (RF+XGB+LGBM → GBM),0.7055273492593164,0.6990364638424983,Ensemble,-0.006490885416818082,-0.92
9,Probability Calibration (Isotonic),0.7055273492593164,0.7056192328846975,Calibration,9.188362538115058e-05,0.01
