Configuration,Fold,Num_Features,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
Baseline_Raw,1,17,0.6538467593063879,0.49183738798155385,0.42149191444966094,0.692797783933518,0.543010752688172,0.34441602728047743
Baseline_Raw,2,17,0.6780892133644987,0.5265998315642402,0.44782380702674357,0.7082294264339152,0.580952380952381,0.3643344709897611
Baseline_Raw,3,17,0.6595899255084792,0.49259959163276384,0.4197271773347324,0.6935439179828208,0.5449591280653951,0.3412969283276451
Baseline_Raw,4,17,0.6748952204569983,0.529394250534182,0.4507042253521127,0.7082294264339152,0.5806451612903226,0.36828644501278773
Baseline_Raw,5,17,0.6707819059657845,0.5133548231777529,0.44293193717277485,0.7051814907176503,0.5739484396200815,0.36061381074168797
Baseline_Raw,6,17,0.6671146130572262,0.5083424108871605,0.4383561643835616,0.7047091412742382,0.5737931034482758,0.3546462063086104
Baseline_Raw,7,17,0.6723887353807414,0.5219617923928738,0.43950361944157185,0.6996397894153505,0.5577427821522309,0.3626279863481229
Baseline_Raw,8,17,0.6528602699284775,0.492877238783567,0.4388451443569554,0.7037960653920754,0.5702592087312415,0.35665529010238906
Baseline_Raw,9,17,0.6646219957248267,0.5124547594269083,0.44325481798715205,0.7118315322804101,0.5956834532374101,0.35294117647058826
Baseline_Raw,10,17,0.6624404884392538,0.49710049460793104,0.4320413436692506,0.6954835134386257,0.5485564304461942,0.35635123614663256
Baseline_Raw,11,17,0.675937285406393,0.5236669115679351,0.45251686559418786,0.7077562326869806,0.5782493368700266,0.37169650468883203
Baseline_Raw,12,17,0.6752024743677183,0.520532605154145,0.45168067226890757,0.7107231920199502,0.587431693989071,0.36689419795221845
Baseline_Raw,13,17,0.6792820720378803,0.5072194975162884,0.43251859723698194,0.7040731504571903,0.5732394366197183,0.34726962457337884
Baseline_Raw,14,17,0.6658069774636491,0.5127710306067141,0.43966421825813223,0.7040731504571903,0.5716234652114598,0.35720375106564367
Baseline_Raw,15,17,0.659289927865199,0.4975622883295679,0.43743536711478803,0.6985314491548905,0.5558475689881734,0.36061381074168797
Baseline_Raw,16,17,0.6644785333804893,0.5112802818171152,0.44016649323621226,0.7019390581717452,0.5647530040053405,0.36061381074168797
Baseline_Raw,17,17,0.6717762005263003,0.5177408448154046,0.44667370644139387,0.7096148517594901,0.5858725761772853,0.3609215017064846
Baseline_Raw,18,17,0.6664662813479898,0.5069218368327959,0.429544264012572,0.6982543640897756,0.5563093622795116,0.34982935153583616
Baseline_Raw,19,17,0.6538829674798454,0.5009413248144566,0.42462180490349505,0.6943751731781657,0.5470430107526881,0.34697357203751067
Baseline_Raw,20,17,0.662830874478727,0.5074796577912831,0.4409776391055642,0.7021335550013854,0.5653333333333334,0.3614663256606991
Baseline_Raw,21,17,0.6804139507402396,0.5168879289897322,0.44490861618798955,0.7055401662049862,0.5741239892183289,0.3631713554987212
Baseline_Raw,22,17,0.6621542040303008,0.510753366791921,0.440337909186906,0.7062898309781103,0.5775623268698061,0.35580204778157
Baseline_Raw,23,17,0.6600519087839494,0.5070539362807843,0.4317825405122844,0.6988085342200056,0.5573549257759784,0.35238907849829354
Baseline_Raw,24,17,0.6673546980011394,0.5117566097791069,0.4553433144037171,0.7076752563036852,0.5772251308900523,0.37595907928388744
Baseline_Raw,25,17,0.6696130226203425,0.515667047895906,0.4342379958246347,0.6996397894153505,0.5598923283983849,0.3546462063086104
Winner_Raw_Plus_MultiSystem,1,18,0.6536685252681294,0.4870647740562374,0.41714584422373235,0.6911357340720221,0.5391891891891892,0.340153452685422
Winner_Raw_Plus_MultiSystem,2,18,0.6809069787309131,0.5250915444805416,0.44721788871554863,0.7054585757827653,0.5725699067909454,0.36689419795221845
Winner_Raw_Plus_MultiSystem,3,18,0.6574391386489011,0.4853918585629085,0.4230971128608924,0.6954835134386257,0.5497953615279673,0.3438566552901024
Winner_Raw_Plus_MultiSystem,4,18,0.6770742779870569,0.5268684402198529,0.4498448810754912,0.7051814907176503,0.5716162943495401,0.37084398976982097
Winner_Raw_Plus_MultiSystem,5,18,0.6723060038608148,0.5115149277905918,0.4512767066180302,0.7082294264339152,0.5804289544235925,0.3691389599317988
Winner_Raw_Plus_MultiSystem,6,18,0.6626951435334978,0.5025965283376777,0.4180371352785146,0.6961218836565097,0.5533707865168539,0.3358908780903666
Winner_Raw_Plus_MultiSystem,7,18,0.6758866087521586,0.522344168522678,0.45417095777548916,0.7062898309781103,0.5727272727272728,0.37627986348122866
Winner_Raw_Plus_MultiSystem,8,18,0.65822358239933,0.49658456502909154,0.4312267657992565,0.7032418952618454,0.5710267229254571,0.3464163822525597
Winner_Raw_Plus_MultiSystem,9,18,0.6683022284376019,0.5205118048767765,0.4353887399463807,0.7082294264339152,0.5867052023121387,0.34612105711849955
Winner_Raw_Plus_MultiSystem,10,18,0.6617528070698544,0.49579778122667806,0.4517792676637442,0.7054585757827653,0.5718015665796344,0.3734015345268542
Winner_Raw_Plus_MultiSystem,11,18,0.670764475350005,0.5276772701219697,0.4457262716308338,0.707202216066482,0.5790190735694822,0.36231884057971014
Winner_Raw_Plus_MultiSystem,12,18,0.6719158983867874,0.5198959104982506,0.453305351521511,0.7112773621501801,0.5885558583106267,0.36860068259385664
Winner_Raw_Plus_MultiSystem,13,18,0.6766017287522705,0.5036499554133687,0.44176285414480587,0.7051814907176503,0.5735694822888283,0.35921501706484643
Winner_Raw_Plus_MultiSystem,14,18,0.6663627220003444,0.5156465592120613,0.44883116883116886,0.7060127459129953,0.574468085106383,0.36828644501278773
Winner_Raw_Plus_MultiSystem,15,18,0.6556536157691464,0.4952678056275829,0.43268242548818087,0.6940980881130507,0.5446313065976714,0.3589087809036658
Winner_Raw_Plus_MultiSystem,16,18,0.6631658283195171,0.5094103683254253,0.4365904365904366,0.6997229916897507,0.559254327563249,0.35805626598465473
Winner_Raw_Plus_MultiSystem,17,18,0.6731273134175769,0.523595857099777,0.4380952380952381,0.7057356608478803,0.5766016713091922,0.3532423208191126
Winner_Raw_Plus_MultiSystem,18,18,0.6674455668512032,0.5041242792619298,0.42275574112734865,0.6935439179828208,0.5443548387096774,0.3455631399317406
Winner_Raw_Plus_MultiSystem,19,18,0.6595560763035848,0.501309895711033,0.428125,0.6957605985037406,0.5502008032128514,0.35038363171355497
Winner_Raw_Plus_MultiSystem,20,18,0.6665702512889214,0.5110413671529426,0.4513780551222049,0.7076752563036852,0.5786666666666667,0.3699914748508099
