Method,ROC_AUC,F1_Score,Accuracy,Precision,Recall,Train_Size,Test_Size,Total_Samples,Data_Loss_%,Time_sec
1_Listwise_Deletion,0.7262277340665126,0.5686900958466453,0.7540983606557377,0.7295081967213115,0.46596858638743455,2193,549,2742,71.15202524986849,0.25071096420288086
0_Raw_Data_Direct_No_Preprocessing,0.6767457228203586,0.42168674698795183,0.7074792243767313,0.5895865237366003,0.32821824381926684,14436,3610,18046,0.0,0.5283365249633789
3_Raw_AsIs_Missing999,0.6499793375523168,0.4359673024523161,0.6733298264071541,0.5755395683453237,0.3508771929824561,7604,1901,9505,0.0,0.41176772117614746
2_Mean_Imputation,0.6249477432282432,0.3980861244019139,0.6691215149921094,0.5761772853185596,0.30409356725146197,7604,1901,9505,0.0,0.37016963958740234
