roc_auc_mean,roc_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,dataset,feature_set,model,n_features,split_source,n_internal_samples,n_unseen_samples,internal_koa_rate,unseen_koa_rate,unseen_roc_auc,unseen_f1,unseen_accuracy,unseen_precision,unseen_recall
0.8560274213137588,0.023238819128355733,0.648823056387196,0.03455578419757322,0.9204872630404545,0.005919926079415247,Dataset_B_7635,raw17_BA,RandomForest,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.9045467337390508,0.7634408602150538,0.9423706614276359,0.9161290322580645,0.6543778801843319
0.8560274213137588,0.023238819128355733,0.648823056387196,0.03455578419757322,0.9204872630404545,0.005919926079415247,Dataset_B_7635,raw17,RandomForest,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.9045467337390508,0.7634408602150538,0.9423706614276359,0.9161290322580645,0.6543778801843319
0.8469957782970993,0.019144578625736475,0.6524499023737461,0.0221928016755442,0.9254796582806358,0.003662756258366328,Dataset_A_12329,raw17,RandomForest,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.9075312578429806,0.8,0.9525547445255474,0.9105058365758755,0.7134146341463414
0.8469957782970993,0.019144578625736475,0.6524499023737461,0.0221928016755442,0.9254796582806358,0.003662756258366328,Dataset_A_12329,raw17_BA,RandomForest,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.9075312578429806,0.8,0.9525547445255474,0.9105058365758755,0.7134146341463414
0.7956446607826856,0.030243379156606208,0.42043719511023075,0.040291275851698935,0.8842499395690884,0.006829294328838192,Dataset_B_7635,raw17,XGBoost,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.8364899567312766,0.4271186440677966,0.8893254747871644,0.8076923076923077,0.2903225806451613
0.7956446607826856,0.030243379156606208,0.42043719511023075,0.040291275851698935,0.8842499395690884,0.006829294328838192,Dataset_B_7635,raw17_BA,XGBoost,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.8364899567312766,0.4271186440677966,0.8893254747871644,0.8076923076923077,0.2903225806451613
0.7792898779434065,0.029104240135696083,0.2249149940080038,0.030970783575295032,0.868261149112213,0.004605754144806186,Dataset_B_7635,raw17_BA,LightGBM,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.8119411123227918,0.2692307692307692,0.8755730189914865,0.813953488372093,0.16129032258064516
0.7792898779434065,0.029104240135696083,0.2249149940080038,0.030970783575295032,0.868261149112213,0.004605754144806186,Dataset_B_7635,raw17,LightGBM,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.8119411123227918,0.2692307692307692,0.8755730189914865,0.813953488372093,0.16129032258064516
0.7783591272276745,0.01705738743080295,0.30547313891655864,0.02920243936433187,0.8812060689490679,0.00333043020091202,Dataset_A_12329,raw17_BA,XGBoost,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.8089556857331903,0.330188679245283,0.8848337388483374,0.7291666666666666,0.21341463414634146
0.7783591272276745,0.01705738743080295,0.30547313891655864,0.02920243936433187,0.8812060689490679,0.00333043020091202,Dataset_A_12329,raw17,XGBoost,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.8089556857331903,0.330188679245283,0.8848337388483374,0.7291666666666666,0.21341463414634146
0.758058891728595,0.01428874095022278,0.15166924830587872,0.02374777591349649,0.8732975288093112,0.0024709333137255315,Dataset_A_12329,raw17,LightGBM,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.8003091560382395,0.16304347826086957,0.8751013787510138,0.75,0.09146341463414634
0.758058891728595,0.01428874095022278,0.15166924830587872,0.02374777591349649,0.8732975288093112,0.0024709333137255315,Dataset_A_12329,raw17_BA,LightGBM,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.8003091560382395,0.16304347826086957,0.8751013787510138,0.75,0.09146341463414634
0.7228266757499646,0.014767124812970336,0.02385484645723957,0.013083184595213885,0.8678562726626907,0.0007624809620590402,Dataset_A_12329,raw17_biomarkers_orig_BA,RandomForest,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7509247587213946,0.041666666666666664,0.8694241686942417,0.875,0.021341463414634148
0.7227146744624426,0.015902258741003577,0.024816558236738895,0.011988239911172148,0.8677210804275569,0.0008281458505393067,Dataset_A_12329,raw17_biomarkers_log_BA,RandomForest,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7574615266147984,0.029940119760479042,0.8686131386861314,0.8333333333333334,0.01524390243902439
0.7205401866901052,0.018529291419231344,0.029304315823784406,0.011675253258840721,0.8594193806959765,0.0009435809201259548,Dataset_B_7635,raw17_biomarkers_log_BA,RandomForest,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7317638160903367,0.07964601769911504,0.8637851997380485,1.0,0.041474654377880185
0.719975243628829,0.020378427871605178,0.026299699081690872,0.014332944495466095,0.8592555805321762,0.0010517856020723036,Dataset_B_7635,raw17_biomarkers_orig_BA,RandomForest,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7344179829035776,0.05357142857142857,0.8611656843483956,0.8571428571428571,0.027649769585253458
0.7050038700056788,0.02651319290207622,0.04953017274312742,0.016561095772475828,0.8597470703853681,0.0025081509665349144,Dataset_B_7635,raw17,CatBoost,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7285186618355789,0.08771929824561403,0.8637851997380485,0.9090909090909091,0.04608294930875576
0.7050038700056788,0.02651319290207622,0.04953017274312742,0.016561095772475828,0.8597470703853681,0.0025081509665349144,Dataset_B_7635,raw17_BA,CatBoost,17,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7285186618355789,0.08771929824561403,0.8637851997380485,0.9090909090909091,0.04608294930875576
0.7041163170317764,0.01700929317880617,0.025342943377675734,0.012637101930803817,0.8677886251412321,0.0010456623069237457,Dataset_A_12329,raw17_biomarkers_orig,RandomForest,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7337172591206735,0.04142011834319527,0.8686131386861314,0.7,0.021341463414634148
0.7028051194745829,0.013238412043372816,0.023425151007335488,0.011086454104598206,0.8679576240024647,0.0007250239514915647,Dataset_A_12329,raw17_biomarkers_log,RandomForest,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7336830352050013,0.047619047619047616,0.870235198702352,1.0,0.024390243902439025
0.7003193172053019,0.01654217388440789,0.02333357495514038,0.009739607380387918,0.8588735588735587,0.0006864228005509219,Dataset_B_7635,raw17_biomarkers_orig,RandomForest,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7030868540472087,0.04484304932735426,0.8605108055009824,0.8333333333333334,0.02304147465437788
0.6998428170767312,0.018267151914717884,0.02327323586478117,0.012231661785101844,0.8584915372149415,0.00115830003748731,Dataset_B_7635,raw17_biomarkers_log,RandomForest,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7047806662679847,0.044444444444444446,0.8592010478061559,0.625,0.02304147465437788
0.6987707850128636,0.01002721762184594,0.052229866333607704,0.01826044126548998,0.8693094778152797,0.0013500335215308977,Dataset_A_12329,raw17_BA,CatBoost,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7163136850030801,0.10734463276836158,0.8718572587185726,0.7307692307692307,0.057926829268292686
0.6987707850128636,0.01002721762184594,0.052229866333607704,0.01826044126548998,0.8693094778152797,0.0013500335215308977,Dataset_A_12329,raw17,CatBoost,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.7163136850030801,0.10734463276836158,0.8718572587185726,0.7307692307692307,0.057926829268292686
0.6781465134742047,0.01789517745482966,0.07216833271546312,0.026906756924290613,0.8560362326319774,0.0034652787699927298,Dataset_B_7635,raw17_biomarkers_log_BA,LightGBM,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6835332606324972,0.10212765957446808,0.8618205631958088,0.6666666666666666,0.055299539170506916
0.6781465134742047,0.01789517745482966,0.07216833271546312,0.026906756924290613,0.8560362326319774,0.0034652787699927298,Dataset_B_7635,raw17_biomarkers_log,LightGBM,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6835332606324972,0.10212765957446808,0.8618205631958088,0.6666666666666666,0.055299539170506916
0.6744899094504742,0.015331050119198992,0.047718160014026074,0.015423962753289337,0.865625754994659,0.0019478523673291566,Dataset_A_12329,raw17_biomarkers_orig,LightGBM,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6789739670081453,0.04081632653061224,0.8665855636658556,0.4666666666666667,0.021341463414634148
0.6744899094504742,0.015331050119198992,0.047718160014026074,0.015423962753289337,0.865625754994659,0.0019478523673291566,Dataset_A_12329,raw17_biomarkers_orig_BA,LightGBM,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6789739670081453,0.04081632653061224,0.8665855636658556,0.4666666666666667,0.021341463414634148
0.6736243322115819,0.014444128907838525,0.04759966724072229,0.01425611674903649,0.8651526678448438,0.0020038126803458563,Dataset_A_12329,raw17_biomarkers_log,LightGBM,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6815207967327568,0.06896551724137931,0.8686131386861314,0.6,0.036585365853658534
0.6736243322115819,0.014444128907838525,0.04759966724072229,0.01425611674903649,0.8651526678448438,0.0020038126803458563,Dataset_A_12329,raw17_biomarkers_log_BA,LightGBM,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6815207967327568,0.06896551724137931,0.8686131386861314,0.6,0.036585365853658534
0.6716775051339441,0.02100593956420776,0.06672100088777919,0.021141140052362985,0.8566366545089948,0.0038527558672393257,Dataset_B_7635,raw17_biomarkers_orig_BA,LightGBM,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7041193231786681,0.10300429184549356,0.8631303208906352,0.75,0.055299539170506916
0.6716775051339441,0.02100593956420776,0.06672100088777919,0.021141140052362985,0.8566366545089948,0.0038527558672393257,Dataset_B_7635,raw17_biomarkers_orig,LightGBM,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.7041193231786681,0.10300429184549356,0.8631303208906352,0.75,0.055299539170506916
0.6690647832145937,0.016399432743939315,0.04083932497412287,0.013191065188666386,0.8566365204663078,0.0022204611741120325,Dataset_B_7635,raw17_biomarkers_orig_BA,CatBoost,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6827874907658212,0.05263157894736842,0.8585461689587426,0.5454545454545454,0.027649769585253458
0.665306968182649,0.016882316874368107,0.049858536279201324,0.02098366793256181,0.8573459190480468,0.0023418860796531227,Dataset_B_7635,raw17_biomarkers_log_BA,CatBoost,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6928448306187779,0.09482758620689655,0.862475442043222,0.7333333333333333,0.05069124423963134
0.6635579382094094,0.021393892064239868,0.04112170688298544,0.027401293877270732,0.8558722090636983,0.0031855939765415217,Dataset_B_7635,raw17_biomarkers_orig,CatBoost,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6732683716185316,0.06926406926406926,0.8592010478061559,0.5714285714285714,0.03686635944700461
0.662871556893162,0.01746527729896882,0.11230857060326226,0.02695279261550002,0.8498693754012904,0.004214486858743093,Dataset_B_7635,raw17_biomarkers_log,XGBoost,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6841805325922538,0.1556420233463035,0.8578912901113294,0.5,0.09216589861751152
0.662871556893162,0.01746527729896882,0.11230857060326226,0.02695279261550002,0.8498693754012904,0.004214486858743093,Dataset_B_7635,raw17_biomarkers_log_BA,XGBoost,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6841805325922538,0.1556420233463035,0.8578912901113294,0.5,0.09216589861751152
0.6628578904667304,0.016219594737479148,0.118491957564785,0.029689671143047987,0.8506331506331507,0.0035746065376868106,Dataset_B_7635,raw17_biomarkers_orig_BA,XGBoost,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6891476413269075,0.17358490566037735,0.8565815324165029,0.4791666666666667,0.10599078341013825
