cohort,scenario,n,prevalence,roc_auc,pr_auc,brier,best_f1_threshold,f1,precision,recall
ELSA,raw16,8416,0.24916825095057035,0.6037354473564637,0.2972109523188202,0.2006127390146338,0.14,0.4271047227926078,0.29218612818261636,0.7935145445875059
ELSA,raw16+ML_BA,8416,0.24916825095057035,0.6019731576839475,0.30690899270906613,0.19132926099673855,0.11000000000000001,0.4218485498250762,0.27631578947368424,0.8912732474964234
ELSA,raw16+ML_BA+ML_KDM_BA,8416,0.24916825095057035,0.6126152682114775,0.318715296751352,0.18658333783753495,0.19,0.42479968474977015,0.29314720812182743,0.771101573676681
ELSA,raw16+ML_KDM_BA,8416,0.24916825095057035,0.5971753104665833,0.3002760734231321,0.19214644015268323,0.12000000000000001,0.42140238313473877,0.2773337354848439,0.876967095851216
HRS,raw16,20605,0.33855860228099977,0.6040622343175407,0.3986014998208872,0.2582904107849724,0.05,0.5247336545687635,0.3793544263342921,0.8507740825688074
HRS,raw16+ML_BA,20605,0.33855860228099977,0.6068683711910854,0.4096346179737342,0.25017922409736454,0.060000000000000005,0.5255524861878453,0.3759881422924901,0.8727064220183486
HRS,raw16+ML_BA+ML_KDM_BA,20605,0.33855860228099977,0.6073014882929748,0.4121583312414181,0.24743073940166227,0.07,0.5226313122783314,0.370421355039502,0.8871846330275229
HRS,raw16+ML_KDM_BA,20605,0.33855860228099977,0.6101771853781164,0.4122662179482819,0.2481658949337467,0.07,0.524749077807326,0.37440323172970985,0.8768635321100917
